Unnamed: 0,Title,Summary,Link
0,Lecture Notes: Optimization for Machine Learning," Lecture notes on optimization for machine learning, derived from a course at Princeton University and tutorials given in MLSS, Buenos Aires, as well as MLSS .",http://arxiv.org/abs/1909.03550v1
1,An Optimal Control View of Adversarial Machine Learning," An optimal control view of adversarial machine learning is defined by the adversary's goals to do harm and be hard to detect . This view encompasses many types of machine learning, including test-item attacks, training-data poisoning, and adversarial reward-shaping .",http://arxiv.org/abs/1811.04422v1
2,"Minimax deviation strategies for machine learning and recognition with
  short learning samples", The article is devoted to the problem of small learning samples in machine learning . The flaws of maximum likelihood learning and minimax learning are looked at and the concept of minimax deviation learning is introduced .,http://arxiv.org/abs/1707.04849v1
3,Machine Learning for Clinical Predictive Analytics," In this chapter, we provide a brief overview of applying machine learning techniques for clinical prediction tasks . We begin with a quick introduction to the concepts of machine learning and outline some of the most common machine learning algorithms . We demonstrate how to apply the algorithms with appropriate toolkits to conduct machine learning experiments for clinical predictions .",http://arxiv.org/abs/1909.09246v1
4,"Towards Modular Machine Learning Solution Development: Benefits and
  Trade-offs", The cost of developing custom machine learning solutions that solve unique business problems is a major inhibitor to far-reaching adoption of machine learning technologies . We recognize that the monolithic nature of today's machine learning applications stands in the way of efficient and cost effective customized machine learning solution development .,http://arxiv.org/abs/2301.09753v1
5,Recent Advances in Optimal Transport for Machine Learning," Recently, Optimal Transport has been proposed as a probabilistic framework in Machine Learning for comparing and manipulating probability distributions . This has offered new solutions to different problems in machine learning, such as generative modeling and transfer learning .",http://arxiv.org/abs/2306.16156v1
6,Introduction to Machine Learning: Class Notes 67577," Introduction to Machine learning covers Statistical Inference, algebraic and spectral methods (PCA, LDA, CCA, Clustering) and PAC learning (formal model, VC dimension, Double Sampling theorem)",http://arxiv.org/abs/0904.3664v1
7,The Tribes of Machine Learning and the Realm of Computer Architecture, Machine learning techniques have influenced the field of computer architecture like many other fields . This paper studies how the fundamental machine learning techniques can be applied towards computer architecture problems . We also provide a detailed survey of research that employs different machine learning methods .,http://arxiv.org/abs/2012.04105v1
8,"A Machine Learning Tutorial for Operational Meteorology, Part I:
  Traditional Machine Learning", The use of meteorology methods has increased in recent years . This article provides a look at some of the most common methods used to teach students how to use them .,http://arxiv.org/abs/2204.07492v2
9,Position Paper: Towards Transparent Machine Learning," The goal of this project is to enable direct human understanding of machine learning models . If solved, this technology could represent a best-case scenario for the safety and security of AI systems going forward .",http://arxiv.org/abs/1911.06612v1
